,0,0.1,1,1000,2,76
0,0.0,1.0,1,1000,,
1,0.0,2.0,1,1000,,
2,0.0,3.0,1,1000,,
3,0.0,4.0,1,1000,,
4,0.0,5.0,1,1000,,
5,0.0,6.0,1,1000,,
6,0.0,7.0,1,1000,,
7,0.0,8.0,1,1000,,
8,0.0,9.0,1,1000,,
9,0.0,10.0,1,1000,,
10,0.0,11.0,1,1000,,
11,0.0,12.0,1,1000,,
12,0.0,13.0,1,1000,,
13,0.0,14.0,1,1000,,
14,0.0,15.0,1,1000,,
15,0.0,16.0,1,1000,,
16,0.0,17.0,1,1000,,
17,0.0,18.0,1,1000,,
18,0.0,19.0,1,1000,,
19,0.0,20.0,1,1000,,
20,0.0,21.0,1,1000,,
21,0.0,22.0,1,1000,,
22,0.0,23.0,1,1000,,
23,0.0,24.0,1,1000,,
24,0.0,25.0,1,1000,,
25,0.0,26.0,1,1000,,
26,0.0,27.0,1,1000,,
27,0.0,28.0,1,1000,,
28,0.0,29.0,1,1000,,
29,1.0,0.0,1,1000,,
30,1.0,26.0,1,1000,,
31,1.0,27.0,1,1000,,
32,1.0,30.0,1,1000,,
33,1.0,31.0,1,1000,,
34,1.0,32.0,1,1000,,
35,1.0,33.0,1,1000,,
36,1.0,34.0,1,1000,,
37,1.0,35.0,1,1000,,
38,1.0,36.0,1,1000,,
39,1.0,37.0,1,1000,,
40,1.0,38.0,1,1000,,
41,1.0,39.0,1,1000,,
42,1.0,40.0,1,1000,,
43,1.0,41.0,1,1000,,
44,1.0,42.0,1,1000,,
45,1.0,43.0,1,1000,,
46,1.0,44.0,1,1000,,
47,1.0,45.0,1,1000,,
48,1.0,46.0,1,1000,,
49,1.0,47.0,1,1000,,
50,1.0,48.0,1,1000,,
51,1.0,49.0,1,1000,,
52,1.0,50.0,1,1000,,
53,1.0,51.0,1,1000,,
54,1.0,52.0,1,1000,,
55,1.0,53.0,1,1000,,
56,1.0,54.0,1,1000,,
57,1.0,55.0,1,1000,,
58,1.0,56.0,1,1000,,
59,3.0,0.0,1,1000,,
60,3.0,5.0,1,1000,,
61,3.0,12.0,1,1000,,
62,3.0,14.0,1,1000,,
63,3.0,55.0,1,1000,,
64,3.0,63.0,1,1000,,
65,3.0,80.0,1,1000,,
66,3.0,81.0,1,1000,,
67,3.0,82.0,1,1000,,
68,3.0,83.0,1,1000,,
69,3.0,84.0,1,1000,,
70,3.0,85.0,1,1000,,
71,3.0,86.0,1,1000,,
72,3.0,87.0,1,1000,,
73,3.0,88.0,1,1000,,
74,3.0,89.0,1,1000,,
75,3.0,90.0,1,1000,,
76,3.0,91.0,1,1000,,
77,3.0,92.0,1,1000,,
78,3.0,93.0,1,1000,,
79,3.0,94.0,1,1000,,
80,3.0,95.0,1,1000,,
81,3.0,96.0,1,1000,,
82,3.0,97.0,1,1000,,
83,3.0,98.0,1,1000,,
84,3.0,99.0,1,1000,,
85,3.0,100.0,1,1000,,
86,3.0,101.0,1,1000,,
87,3.0,102.0,1,1000,,
88,3.0,103.0,1,1000,,
89,3.0,104.0,1,1000,,
90,4.0,69.0,1,1000,,
91,4.0,105.0,1,1000,,
92,4.0,106.0,1,1000,,
93,4.0,107.0,1,1000,,
94,4.0,108.0,1,1000,,
95,4.0,12.0,1,1000,,
96,4.0,109.0,1,1000,,
97,4.0,110.0,1,1000,,
98,4.0,111.0,1,1000,,
99,5.0,96.0,1,1000,,
100,5.0,97.0,1,1000,,
101,5.0,41.0,1,1000,,
102,5.0,11.0,1,1000,,
103,5.0,12.0,1,1000,,
104,5.0,112.0,1,1000,,
105,5.0,113.0,1,1000,,
106,5.0,114.0,1,1000,,
107,5.0,115.0,1,1000,,
108,5.0,116.0,1,1000,,
109,5.0,117.0,1,1000,,
110,5.0,50.0,1,1000,,
111,5.0,118.0,1,1000,,
112,5.0,119.0,1,1000,,
113,5.0,27.0,1,1000,,
114,5.0,94.0,1,1000,,
115,5.0,31.0,1,1000,,
116,6.0,0.0,1,1000,,
117,6.0,129.0,1,1000,,
118,6.0,130.0,1,1000,,
119,6.0,131.0,1,1000,,
120,6.0,128.0,1,1000,,
121,6.0,132.0,1,1000,,
122,6.0,133.0,1,1000,,
123,6.0,134.0,1,1000,,
124,6.0,135.0,1,1000,,
125,6.0,136.0,1,1000,,
126,6.0,137.0,1,1000,,
127,6.0,138.0,1,1000,,
128,6.0,139.0,1,1000,,
129,6.0,140.0,1,1000,,
130,6.0,14.0,1,1000,,
131,6.0,141.0,1,1000,,
132,6.0,142.0,1,1000,,
133,6.0,17.0,1,1000,,
134,6.0,143.0,1,1000,,
135,6.0,12.0,1,1000,,
136,6.0,22.0,1,1000,,
137,6.0,41.0,1,1000,,
138,6.0,48.0,1,1000,,
139,6.0,61.0,1,1000,,
140,6.0,119.0,1,1000,,
141,6.0,120.0,1,1000,,
142,6.0,121.0,1,1000,,
143,6.0,122.0,1,1000,,
144,6.0,123.0,1,1000,,
145,6.0,124.0,1,1000,,
146,6.0,125.0,1,1000,,
147,6.0,126.0,1,1000,,
148,6.0,127.0,1,1000,,
149,7.0,0.0,1,1000,,
150,7.0,26.0,1,1000,,
151,7.0,12.0,1,1000,,
152,7.0,144.0,1,1000,,
153,7.0,145.0,1,1000,,
154,7.0,146.0,1,1000,,
155,7.0,147.0,1,1000,,
156,7.0,148.0,1,1000,,
157,7.0,149.0,1,1000,,
158,7.0,150.0,1,1000,,
159,7.0,151.0,1,1000,,
160,7.0,152.0,1,1000,,
161,7.0,153.0,1,1000,,
162,7.0,50.0,1,1000,,
163,8.0,160.0,1,1000,,
164,8.0,161.0,1,1000,,
165,8.0,162.0,1,1000,,
166,8.0,163.0,1,1000,,
167,8.0,41.0,1,1000,,
168,8.0,12.0,1,1000,,
169,8.0,154.0,1,1000,,
170,8.0,155.0,1,1000,,
171,8.0,156.0,1,1000,,
172,8.0,157.0,1,1000,,
173,8.0,158.0,1,1000,,
174,8.0,159.0,1,1000,,
175,9.0,164.0,1,1000,,
176,9.0,165.0,1,1000,,
177,9.0,166.0,1,1000,,
178,9.0,167.0,1,1000,,
179,9.0,168.0,1,1000,,
180,9.0,169.0,1,1000,,
181,9.0,170.0,1,1000,,
182,9.0,171.0,1,1000,,
183,9.0,172.0,1,1000,,
184,9.0,173.0,1,1000,,
185,9.0,174.0,1,1000,,
186,9.0,175.0,1,1000,,
187,9.0,176.0,1,1000,,
188,9.0,177.0,1,1000,,
189,9.0,178.0,1,1000,,
190,9.0,179.0,1,1000,,
191,9.0,180.0,1,1000,,
192,10.0,0.0,1,1000,,
193,10.0,97.0,1,1000,,
194,10.0,26.0,1,1000,,
195,10.0,12.0,1,1000,,
196,10.0,50.0,1,1000,,
197,10.0,149.0,1,1000,,
198,10.0,182.0,1,1000,,
199,10.0,181.0,1,1000,,
200,10.0,184.0,1,1000,,
201,10.0,185.0,1,1000,,
202,10.0,186.0,1,1000,,
203,10.0,187.0,1,1000,,
204,10.0,188.0,1,1000,,
205,10.0,183.0,1,1000,,
206,13.0,129.0,1,1000,,
207,13.0,12.0,1,1000,,
208,13.0,17.0,1,1000,,
209,13.0,40.0,1,1000,,
210,13.0,43.0,1,1000,,
211,13.0,205.0,1,1000,,
212,13.0,206.0,1,1000,,
213,13.0,207.0,1,1000,,
214,13.0,208.0,1,1000,,
215,13.0,209.0,1,1000,,
216,13.0,210.0,1,1000,,
217,13.0,211.0,1,1000,,
218,13.0,212.0,1,1000,,
219,13.0,213.0,1,1000,,
220,13.0,214.0,1,1000,,
221,13.0,215.0,1,1000,,
222,13.0,216.0,1,1000,,
223,13.0,217.0,1,1000,,
224,13.0,90.0,1,1000,,
225,13.0,218.0,1,1000,,
226,13.0,219.0,1,1000,,
227,13.0,220.0,1,1000,,
228,13.0,221.0,1,1000,,
229,13.0,222.0,1,1000,,
230,13.0,223.0,1,1000,,
231,13.0,224.0,1,1000,,
232,13.0,225.0,1,1000,,
233,13.0,226.0,1,1000,,
234,13.0,227.0,1,1000,,
235,13.0,122.0,1,1000,,
236,16.0,256.0,1,1000,,
237,16.0,257.0,1,1000,,
238,16.0,258.0,1,1000,,
239,16.0,2.0,1,1000,,
240,16.0,259.0,1,1000,,
241,16.0,260.0,1,1000,,
242,16.0,261.0,1,1000,,
243,16.0,262.0,1,1000,,
244,16.0,263.0,1,1000,,
245,16.0,264.0,1,1000,,
246,16.0,265.0,1,1000,,
247,16.0,266.0,1,1000,,
248,16.0,267.0,1,1000,,
249,16.0,268.0,1,1000,,
250,16.0,269.0,1,1000,,
251,16.0,270.0,1,1000,,
252,16.0,271.0,1,1000,,
253,16.0,272.0,1,1000,,
254,16.0,273.0,1,1000,,
255,16.0,138.0,1,1000,,
256,16.0,274.0,1,1000,,
257,16.0,275.0,1,1000,,
258,16.0,276.0,1,1000,,
259,16.0,277.0,1,1000,,
260,16.0,278.0,1,1000,,
