,0,0.1,1,1000,52,1.1
0,0.0,1.0,1,1000,,
1,0.0,2.0,1,1000,,
2,0.0,3.0,1,1000,,
3,0.0,4.0,1,1000,,
4,0.0,5.0,1,1000,,
5,0.0,6.0,1,1000,,
6,0.0,7.0,1,1000,,
7,0.0,8.0,1,1000,,
8,0.0,9.0,1,1000,,
9,0.0,10.0,1,1000,,
10,0.0,11.0,1,1000,,
11,0.0,12.0,1,1000,,
12,0.0,13.0,1,1000,,
13,0.0,14.0,1,1000,,
14,0.0,15.0,1,1000,,
15,0.0,16.0,1,1000,,
16,0.0,17.0,1,1000,,
17,0.0,18.0,1,1000,,
18,0.0,19.0,1,1000,,
19,0.0,20.0,1,1000,,
20,0.0,21.0,1,1000,,
21,0.0,22.0,1,1000,,
22,0.0,23.0,1,1000,,
23,0.0,24.0,1,1000,,
24,0.0,25.0,1,1000,,
25,0.0,26.0,1,1000,,
26,0.0,27.0,1,1000,,
27,0.0,28.0,1,1000,,
28,0.0,29.0,1,1000,,
29,2.0,45.0,1,1000,,
30,2.0,57.0,1,1000,,
31,2.0,58.0,1,1000,,
32,2.0,59.0,1,1000,,
33,2.0,60.0,1,1000,,
34,2.0,61.0,1,1000,,
35,2.0,62.0,1,1000,,
36,2.0,63.0,1,1000,,
37,2.0,64.0,1,1000,,
38,2.0,65.0,1,1000,,
39,2.0,66.0,1,1000,,
40,2.0,67.0,1,1000,,
41,2.0,68.0,1,1000,,
42,2.0,69.0,1,1000,,
43,2.0,70.0,1,1000,,
44,2.0,71.0,1,1000,,
45,2.0,72.0,1,1000,,
46,2.0,73.0,1,1000,,
47,2.0,74.0,1,1000,,
48,2.0,75.0,1,1000,,
49,2.0,76.0,1,1000,,
50,2.0,77.0,1,1000,,
51,2.0,78.0,1,1000,,
52,2.0,79.0,1,1000,,
53,3.0,0.0,1,1000,,
54,3.0,5.0,1,1000,,
55,3.0,12.0,1,1000,,
56,3.0,14.0,1,1000,,
57,3.0,55.0,1,1000,,
58,3.0,63.0,1,1000,,
59,3.0,80.0,1,1000,,
60,3.0,81.0,1,1000,,
61,3.0,82.0,1,1000,,
62,3.0,83.0,1,1000,,
63,3.0,84.0,1,1000,,
64,3.0,85.0,1,1000,,
65,3.0,86.0,1,1000,,
66,3.0,87.0,1,1000,,
67,3.0,88.0,1,1000,,
68,3.0,89.0,1,1000,,
69,3.0,90.0,1,1000,,
70,3.0,91.0,1,1000,,
71,3.0,92.0,1,1000,,
72,3.0,93.0,1,1000,,
73,3.0,94.0,1,1000,,
74,3.0,95.0,1,1000,,
75,3.0,96.0,1,1000,,
76,3.0,97.0,1,1000,,
77,3.0,98.0,1,1000,,
78,3.0,99.0,1,1000,,
79,3.0,100.0,1,1000,,
80,3.0,101.0,1,1000,,
81,3.0,102.0,1,1000,,
82,3.0,103.0,1,1000,,
83,3.0,104.0,1,1000,,
84,4.0,69.0,1,1000,,
85,4.0,105.0,1,1000,,
86,4.0,106.0,1,1000,,
87,4.0,107.0,1,1000,,
88,4.0,108.0,1,1000,,
89,4.0,12.0,1,1000,,
90,4.0,109.0,1,1000,,
91,4.0,110.0,1,1000,,
92,4.0,111.0,1,1000,,
93,5.0,96.0,1,1000,,
94,5.0,97.0,1,1000,,
95,5.0,41.0,1,1000,,
96,5.0,11.0,1,1000,,
97,5.0,12.0,1,1000,,
98,5.0,112.0,1,1000,,
99,5.0,113.0,1,1000,,
100,5.0,114.0,1,1000,,
101,5.0,115.0,1,1000,,
102,5.0,116.0,1,1000,,
103,5.0,117.0,1,1000,,
104,5.0,50.0,1,1000,,
105,5.0,118.0,1,1000,,
106,5.0,119.0,1,1000,,
107,5.0,27.0,1,1000,,
108,5.0,94.0,1,1000,,
109,5.0,31.0,1,1000,,
110,6.0,0.0,1,1000,,
111,6.0,129.0,1,1000,,
112,6.0,130.0,1,1000,,
113,6.0,131.0,1,1000,,
114,6.0,128.0,1,1000,,
115,6.0,132.0,1,1000,,
116,6.0,133.0,1,1000,,
117,6.0,134.0,1,1000,,
118,6.0,135.0,1,1000,,
119,6.0,136.0,1,1000,,
120,6.0,137.0,1,1000,,
121,6.0,138.0,1,1000,,
122,6.0,139.0,1,1000,,
123,6.0,140.0,1,1000,,
124,6.0,14.0,1,1000,,
125,6.0,141.0,1,1000,,
126,6.0,142.0,1,1000,,
127,6.0,17.0,1,1000,,
128,6.0,143.0,1,1000,,
129,6.0,12.0,1,1000,,
130,6.0,22.0,1,1000,,
131,6.0,41.0,1,1000,,
132,6.0,48.0,1,1000,,
133,6.0,61.0,1,1000,,
134,6.0,119.0,1,1000,,
135,6.0,120.0,1,1000,,
136,6.0,121.0,1,1000,,
137,6.0,122.0,1,1000,,
138,6.0,123.0,1,1000,,
139,6.0,124.0,1,1000,,
140,6.0,125.0,1,1000,,
141,6.0,126.0,1,1000,,
142,6.0,127.0,1,1000,,
143,7.0,0.0,1,1000,,
144,7.0,26.0,1,1000,,
145,7.0,12.0,1,1000,,
146,7.0,144.0,1,1000,,
147,7.0,145.0,1,1000,,
148,7.0,146.0,1,1000,,
149,7.0,147.0,1,1000,,
150,7.0,148.0,1,1000,,
151,7.0,149.0,1,1000,,
152,7.0,150.0,1,1000,,
153,7.0,151.0,1,1000,,
154,7.0,152.0,1,1000,,
155,7.0,153.0,1,1000,,
156,7.0,50.0,1,1000,,
157,8.0,160.0,1,1000,,
158,8.0,161.0,1,1000,,
159,8.0,162.0,1,1000,,
160,8.0,163.0,1,1000,,
161,8.0,41.0,1,1000,,
162,8.0,12.0,1,1000,,
163,8.0,154.0,1,1000,,
164,8.0,155.0,1,1000,,
165,8.0,156.0,1,1000,,
166,8.0,157.0,1,1000,,
167,8.0,158.0,1,1000,,
168,8.0,159.0,1,1000,,
169,10.0,0.0,1,1000,,
170,10.0,97.0,1,1000,,
171,10.0,26.0,1,1000,,
172,10.0,12.0,1,1000,,
173,10.0,50.0,1,1000,,
174,10.0,149.0,1,1000,,
175,10.0,182.0,1,1000,,
176,10.0,181.0,1,1000,,
177,10.0,184.0,1,1000,,
178,10.0,185.0,1,1000,,
179,10.0,186.0,1,1000,,
180,10.0,187.0,1,1000,,
181,10.0,188.0,1,1000,,
182,10.0,183.0,1,1000,,
183,11.0,192.0,1,1000,,
184,11.0,193.0,1,1000,,
185,11.0,194.0,1,1000,,
186,11.0,195.0,1,1000,,
187,11.0,196.0,1,1000,,
188,11.0,197.0,1,1000,,
189,11.0,72.0,1,1000,,
190,11.0,12.0,1,1000,,
191,11.0,189.0,1,1000,,
192,11.0,190.0,1,1000,,
193,11.0,191.0,1,1000,,
194,12.0,198.0,1,1000,,
195,12.0,199.0,1,1000,,
196,12.0,200.0,1,1000,,
197,12.0,201.0,1,1000,,
198,12.0,202.0,1,1000,,
199,12.0,203.0,1,1000,,
200,12.0,12.0,1,1000,,
201,12.0,204.0,1,1000,,
202,12.0,86.0,1,1000,,
203,12.0,27.0,1,1000,,
204,13.0,129.0,1,1000,,
205,13.0,12.0,1,1000,,
206,13.0,17.0,1,1000,,
207,13.0,40.0,1,1000,,
208,13.0,43.0,1,1000,,
209,13.0,205.0,1,1000,,
210,13.0,206.0,1,1000,,
211,13.0,207.0,1,1000,,
212,13.0,208.0,1,1000,,
213,13.0,209.0,1,1000,,
214,13.0,210.0,1,1000,,
215,13.0,211.0,1,1000,,
216,13.0,212.0,1,1000,,
217,13.0,213.0,1,1000,,
218,13.0,214.0,1,1000,,
219,13.0,215.0,1,1000,,
220,13.0,216.0,1,1000,,
221,13.0,217.0,1,1000,,
222,13.0,90.0,1,1000,,
223,13.0,218.0,1,1000,,
224,13.0,219.0,1,1000,,
225,13.0,220.0,1,1000,,
226,13.0,221.0,1,1000,,
227,13.0,222.0,1,1000,,
228,13.0,223.0,1,1000,,
229,13.0,224.0,1,1000,,
230,13.0,225.0,1,1000,,
231,13.0,226.0,1,1000,,
232,13.0,227.0,1,1000,,
233,13.0,122.0,1,1000,,
234,14.0,64.0,1,1000,,
235,14.0,228.0,1,1000,,
236,14.0,229.0,1,1000,,
237,14.0,230.0,1,1000,,
238,14.0,231.0,1,1000,,
239,14.0,232.0,1,1000,,
240,14.0,233.0,1,1000,,
241,14.0,234.0,1,1000,,
242,14.0,235.0,1,1000,,
243,14.0,236.0,1,1000,,
244,14.0,12.0,1,1000,,
245,14.0,237.0,1,1000,,
246,14.0,238.0,1,1000,,
247,14.0,149.0,1,1000,,
248,14.0,185.0,1,1000,,
249,14.0,186.0,1,1000,,
250,15.0,192.0,1,1000,,
251,15.0,72.0,1,1000,,
252,15.0,105.0,1,1000,,
253,15.0,12.0,1,1000,,
254,15.0,239.0,1,1000,,
255,15.0,240.0,1,1000,,
256,15.0,241.0,1,1000,,
257,15.0,242.0,1,1000,,
258,15.0,243.0,1,1000,,
259,15.0,244.0,1,1000,,
260,15.0,245.0,1,1000,,
